brand,features,price,link
Samsung Galaxy Watch (46mm) Silver - Bluetooth,"
Type: Smart WatchSize: 46mmCompatibility: Compatible Devices
Samsung Smartphone, Non-Samsung Android Smartphone(Android OS 5.0 and above RAM 1.5GB and above ), iOS 9.0 and above iPhone 5 and aboveOS Compatibility: Android
Model #: SM-R800NZSAXAR
Item #: N82E16886508219
Return Policy: International Order Return Policy
","
       ₹ 25,149
            25149.0
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=N82E16886508219
"Apple Watch Series 3 (GPS + Cellular), 42mm Silver Aluminum Case with Fog Sport Band - Silver Aluminum - OEM","
Series: Series 3
BuyType: Smart WatchSize: 42mmBand: Fog Sport Band
Model #: MQK12LL/A
Item #: 00I-00KY-000A7
","
       ₹ 30,097
            30097.0
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=00I-00KY-000A7
Samsung Galaxy Watch (42mm) Midnight Black - Bluetooth,"
Type: Smart WatchSize: 42mmOS Compatibility: Android / IOSScreen Size: 1.2""
Model #: SM-R810NZKAXAR
Item #: N82E16886508213
Return Policy: International Order Return Policy
","
       ₹ 23,151
            23151.0
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=N82E16886508213
Samsung Gear VR (2016 Model),"
Type: EyewearCompatibility: Galaxy S7, Galaxy S7 edge, Galaxy Note5, Galaxy S6, Galaxy S6 edge, Galaxy S6 edge+OS Compatibility: AndroidConnector: USB
Model #: SM-R323NBKAXAR
Item #: N82E16886508025
Return Policy: International Order Return Policy
","
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=N82E16886508025
"Xiaomi AMAZFIT Youth Edition Sports Smart Watch - Black/Supports GPS, GLONASS Dual-Mode Positioning, Exercise Heart Rate, 32g Lightweight","
Type: WatchSize: N/AScreen Size: N/A
Model #: 472108
Item #: 9SIAGHB7NR5253
Return Policy: View Return Policy
","
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIAGHB7NR5253
COOKOO Smart Bluetooth Connected Watch,"
Type: WatchSize: N/AOS Compatibility: iOSBluetooth: Bluetooth 4.0
Model #: CKW-SW002-01
Item #: N82E16886751004
Return Policy: International Order Return Policy
","
       ₹ 5,849
            5849.0
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=N82E16886751004
LUOM Smart Watch with Heart Rate Monitor Information Synchronized Function Bluetooth Smartwatch GSM Phone Sports Bluetooth Wristwatch Support SIM Card Compatible With IOS & Android (Silver),"
Type: Smart watchCompatibility: Android / IOSCamera: 1.3MSensors: 3G magsensor gravity sensor
Model #: GT88
Return Policy: View Return Policy
","
       ₹ 5,542
            5542.0
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIACD556X7912
"Jieyuteks Bluetooth Wrist Smart Watches, Wearable Bluetooth Smart Watch with Camera Heart Rate 16G Support SIM for IOS iPhone Android Samsung Sony LG Smart Phones","
Series: K WatchPart Number: KW18Type: WatchSize: Medium
Model #: KW18
Return Policy: View Return Policy
","
       ₹ 6,925
            6925.0
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIACD557V3299
Z40 Smart Watch MTK2502 Bluetooth V4.0 Heart Rate Monitoring Blood Pressure Measurement - Blue/Multifunction Sports Bluetooth Smart Watch,"
Type: WatchSize: N/AScreen Size: N/ABluetooth: Bluetooth 4.0
Model #: 488460
Item #: 9SIAGHB7NR5265
Return Policy: View Return Policy
","
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIAGHB7NR5265
Smart Watch On Wrist Bluetooth Smartwatch - White/For Android For Samsung Huawei Sony Xiaomi Sim TF Card Sleep Tracker Adult,"
Type: WatchSize: N/AOS Compatibility: AndroidScreen Size: N/A
Model #: 486391
Item #: 9SIAGHB7NR5277
Return Policy: View Return Policy
","
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIAGHB7NR5277
Sony SmartWatch Bluetooth Android Watch Black,"
OS Compatibility: AndroidBluetooth: Bluetooth 3.0Battery Life: Low usage: 1 week

Typical usage: 3-4 days

Heavy usage: 1 full dayHeight: 0.3""
Model #: SmartWatch
Item #: 9SIA0AJ2172374
Return Policy: View Return Policy
","
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIA0AJ2172374
"T8 Bluetooth Smart Watch with Camera Music Player for Android - Black/Facebook Whatsapp Sync SMS 1.56"" Smartwatch, Support SIM TF Card","
Type: WatchSize: N/AOS Compatibility: AndroidScreen Size: N/A
Model #: 481470
Item #: 9SIAGHB7NR5229
Return Policy: View Return Policy
","
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIAGHB7NR5229
Jakcom R3F Smart Ring for High Speed NFC Electronics Phone Smart Accessories - Black (Size 8)/3-Proof App Enabled Wearable Technology Magic Ring,"
Type: AccessorySize: N/AScreen Size: N/A
Model #: 483557
Item #: 9SIAGHB7NR5274
Return Policy: View Return Policy
","
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIAGHB7NR5274
Samsung Gear S3 Classic Verizon Watch Gear S3 Classic Verizon Watch,"
Type: Watch
Model #: SM-R775V
Return Policy: View Return Policy
","
       ₹ 28,061
            28061.0
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIA6ZP73A5431
"Xiaomi Huami AMAZFIT Pace Sports Smart Watch - Red + Black (English Version)/Original Xiaomi, Bluetooth 4.0, Heart Rate Monitor, GPS, For Android and IOS","
Type: WatchSize: N/AOS Compatibility: Android iOSScreen Size: N/A
Model #: 475568
Item #: 9SIAGHB7NR5254
Return Policy: View Return Policy
","
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIAGHB7NR5254
iLive IVR57BDL Virtual Reality Goggles with Bluetooth Remote,"
Model #: IVR57BDL
Item #: 9SIA6ZP7E02254
Return Policy: View Return Policy
","
       ₹ 3,156
            3156.0
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIA6ZP7E02254
K88H Bluetooth Smart Watch Classic Health Metal Smartwatch Heart Rate Monitor for Android IOS Phone Remote Camera Clock,"
Style: SportsMaterial: LeatherColor: Gold BrownDesign: Luxury
Model #: X4929
Return Policy: View Return Policy
","
       ₹ 15,047
            15047.0
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIA5DR4G28042
"Kingwear Bluetooth Wrist Smart Watches, Wearable Bluetooth Smart Watch with Camera Heart Rate 16G Support SIM for IOS iPhone Android Samsung Sony LG Smart Phones with 16G Memory Card, Gold","
Series: K WatchPart Number: KW18Type: WatchSize: Large
Model #: KW18
Return Policy: View Return Policy
","
       ₹ 7,088
            7088.0
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIACD56JH8670
V6 Fashion Bluetooth IP67 Waterproof Smart Wrist Watch Bracelet with Heart Rate Monitoring/Sports Stylish Bluetooth V4.0 Smart Watch,"
Type: WatchSize: N/AScreen Size: N/ABluetooth: Bluetooth 4.0
Model #: 486928
Return Policy: View Return Policy
","
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIAGHB7NR5264
"Q18 1.54"" TFT GSM Smart Watch w/ Remote Camera, Compass - Black/Q18 1.54"" TFT GSM Smart Watch w/ Pedometer / Sleeping Monitor / Remote Camera / Compass","
Type: WatchSize: N/AScreen Size: N/A
Model #: 417598
Item #: 9SIAGHB7RV6402
Return Policy: View Return Policy
","
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIAGHB7RV6402
"DOMINO DM98 Android 3G Smart Watch Phone with 900mAh Battery - Black/2.2 inch, 1.3MP, Support Wi-Fi, GPS, Bluetooth Pedometer, Sedentary Remind, Remote Camera","
Type: WatchSize: N/AOS Compatibility: AndroidScreen Size: N/A
Model #: 466470
Item #: 9SIAGHB7S17259
Return Policy: View Return Policy
","
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIAGHB7S17259
"H1 IP68 Waterproof Wi-Fi Bluetooth Smart Watch with 512MB, 4GB - Black/3G Bluetooth Smartwatch with Camera, SIM, Support GPS, Wi-Fi, Heart Rate Health Monitor, For Android","
Type: WatchSize: N/AOS Compatibility: AndroidScreen Size: N/A
Model #: 472086
Item #: 9SIAGHB7TA8487
Return Policy: View Return Policy
","
",https://www.newegg.com/global/in-en/Product/Product.aspx?Item=9SIAGHB7TA8487
